go_id	Evidence	gene_id
GO:0016740	ISO	LOC107372479
GO:0005694	ISO	LOC107372479
GO:0032508	ISO	LOC107372479
GO:0006281	ISO	LOC107372479
GO:0006974	ISO	LOC107372479
GO:0006974	ISO	LOC107372479
GO:0006302	ISO	LOC107372479
GO:0016779	ISO	LOC107372479
GO:0003887	ISO	LOC107372479
GO:0003887	ISO	LOC107372479
GO:0071897	ISO	LOC107372479
GO:0005634	ISO	LOC107372479
GO:0005515	ISO	LOC107372479
GO:0006261	ISO	LOC107372479
GO:0005737	ISO	LOC107372479
GO:0005654	ISO	LOC107372479
GO:0003682	ISO	LOC107372479
GO:0051260	ISO	LOC107372479
GO:2000042	ISO	LOC107372479
GO:0006284	ISO	LOC107372479
GO:0003684	ISO	LOC107372479
GO:0006281	ISO	LOC107372479
GO:0016446	ISO	LOC107372479
GO:0003887	ISO	LOC107372479
GO:0000724	ISO	LOC107372479
GO:0017116	ISO	LOC107372479
GO:0051575	ISO	LOC107372479
GO:0016446	ISO	LOC107372479
GO:0097681	ISO	LOC107372479
GO:0097681	ISO	LOC107372479
GO:2000042	ISO	LOC107372479
GO:0016020	ISO	LOC107395146
GO:0016021	ISO	LOC107395146
GO:0005654	ISO	LOC107395146
GO:0005886	ISO	LOC107395146
GO:0005925	ISO	LOC107395146
GO:0005886	ISO	LOC107395146
GO:0042995	ISO	LOC107395146
GO:0007165	ISO	LOC107395146
GO:0007275	ISO	LOC107395146
GO:0030154	ISO	LOC107395146
GO:0009986	ISO	LOC107395146
GO:0009986	ISO	LOC107395146
GO:0009986	ISO	LOC107395146
GO:0005576	ISO	LOC107395146
GO:0070062	ISO	LOC107395146
GO:0019901	ISO	LOC107395146
GO:0062023	ISO	LOC107395146
GO:0001525	ISO	LOC107395146
GO:0016324	ISO	LOC107395146
GO:0005887	ISO	LOC107395146
GO:0043202	ISO	LOC107395146
GO:0005796	ISO	LOC107395146
GO:0035556	ISO	LOC107395146
GO:0030206	ISO	LOC107395146
GO:0030207	ISO	LOC107395146
GO:0030208	ISO	LOC107395146
GO:0050731	ISO	LOC107395146
GO:0048771	ISO	LOC107395146
GO:0031258	ISO	LOC107395146
GO:0015026	ISO	LOC107395146
GO:0000187	ISO	LOC107395146
GO:0006929	ISO	LOC107395146
GO:0007169	ISO	LOC107395146
GO:0008283	ISO	LOC107395146
GO:0008347	ISO	LOC107395146
GO:0048008	ISO	LOC107395146
GO:0097178	ISO	LOC107395146
GO:0001726	ISO	LOC107395146
GO:0005515	ISO	hook3
GO:0005737	ISO	hook3
GO:0015031	ISO	hook3
GO:0005829	ISO	hook3
GO:0005794	ISO	hook3
GO:0005856	ISO	hook3
GO:0005515	ISO	hook3
GO:0042802	ISO	hook3
GO:0005874	ISO	hook3
GO:0008017	ISO	hook3
GO:0005737	ISO	hook3
GO:0030897	ISO	hook3
GO:0045505	ISO	hook3
GO:0008333	ISO	hook3
GO:0045022	ISO	hook3
GO:0005813	ISO	hook3
GO:0008017	ISO	hook3
GO:0051959	ISO	hook3
GO:0030705	ISO	hook3
GO:0031122	ISO	hook3
GO:0051645	ISO	hook3
GO:0050768	ISO	hook3
GO:0007040	ISO	hook3
GO:0005813	ISO	hook3
GO:0005801	ISO	hook3
GO:0007032	ISO	hook3
GO:0000242	ISO	hook3
GO:0034452	ISO	hook3
GO:0022027	ISO	hook3
GO:0031122	ISO	hook3
GO:0071539	ISO	hook3
GO:0045503	ISO	hook3
GO:0022027	ISO	hook3
GO:0034454	ISO	hook3
GO:0034454	ISO	hook3
GO:0050768	ISO	hook3
GO:0071539	ISO	hook3
GO:0097150	ISO	hook3
